id,logIndex,blockNumber,indexer,indexingRewardCut,queryFeeCut,type
0x10969f3f6959c30b94a9dc1ebe551fb1609e166edfba3cf6715b8dfe72c8f016-248,248,12171504,0x4167eb613d784c910f5dc0f3f0515d61ec6ec8df,334400,150000,delegationParametersUpdateds
0x1c24d27823273db7972fa0707217042382e483c491c461527155fc19c813024b-214,214,12171527,0x4167eb613d784c910f5dc0f3f0515d61ec6ec8df,344400,150000,delegationParametersUpdateds
0x5ba34cea3ffd96a8711820f6a837938288ef061c9ff883d7cf34f5bc7796c5d1-234,234,12187095,0x4ac761592d1f948058843121133d048dc7dfc7c0,750000,950000,delegationParametersUpdateds
0x9ddaf4390332ada3cf6eb41c17cd847fc5d13a47b8b3c933cadc21116e1ea873-127,127,12187186,0x289d2026a6a09c20261303775b9fca9494e7ab1f,700000,950000,delegationParametersUpdateds
0x3e2bebe069a89148ea982699b41d2787a70ed980b9d3c2a7126c4ee1aa6a849d-326,326,12187251,0xc430be492ddeb6e761dbbd0e08bafe99f5064d90,650000,650000,delegationParametersUpdateds
0xcad203423d8497f0b8bab917a12cd292cab71e3188a9726906d35f5c38556acf-195,195,12188103,0x0b751463e07d90f465573d3b5dd45e1afafd4cd0,100000,120000,delegationParametersUpdateds
0xe41a517c38fbb5cd2e000cb316414ace8171a14e857bba32d185010ce2f8e0ab-132,132,12189379,0xcb22a8ce581d04fef99b81ec5a60725070a3e8c4,606800,315800,delegationParametersUpdateds
0x23955c3be929a7f86db2c111fa0c13b8eb31a8a3c1607ac5bc8162cbe8aa3df9-45,45,12190782,0x0b751463e07d90f465573d3b5dd45e1afafd4cd0,900000,120000,delegationParametersUpdateds
0x920bbe8facd2b959e24a631991285f74b0c6c0cd3bb060190e6e35f4db990157-168,168,12190795,0x0b751463e07d90f465573d3b5dd45e1afafd4cd0,900000,880000,delegationParametersUpdateds
0xea6db8f7c786f41967606fa103d2ac004b7a12d28daaa1e91eedfae39282fb6d-314,314,12191852,0x0b751463e07d90f465573d3b5dd45e1afafd4cd0,980000,120000,delegationParametersUpdateds
0xd2a5599a61131c6335d372e0ef8630ecdc28319702e155b49e0259bcc1af783a-142,142,12191884,0x0b751463e07d90f465573d3b5dd45e1afafd4cd0,985000,120000,delegationParametersUpdateds
0x6bb774c7c116efa3d653131027d8bffa4506e4a20ec98b1fead1831cd6ed2c45-119,119,12193758,0x4d6a8776a164776c93618233a0003e8894e7e6c2,161000,161000,delegationParametersUpdateds
0x3b55d649667684428fa78cfc73e6250447044bb37bd5cf002674508b417f6645-116,116,12198580,0x5a8904be09625965d9aec4bffd30d853438a053e,134146,80000,delegationParametersUpdateds
0x9bdb8bf447793aa0b6a5068f6c088ac3d47651aeee8076e1154fb6f5639851ef-119,119,12198650,0xc60d0c8c74b5d3a33ed51c007ebae682490de261,795781,879871,delegationParametersUpdateds
0xa5e96572167b4986392a3ec23140e3413bc4888c9cb1ed53b98e0adfe7e6c6d9-225,225,12201521,0x4c059ccb00e504b4472f8fbb0d2556f165bdbb3b,100000,100000,delegationParametersUpdateds
0x6ca6ff63da3e9f8a109f3cbd20d1e985b2767705e54bd3caf891a137ab30ea78-226,226,12201540,0x4c059ccb00e504b4472f8fbb0d2556f165bdbb3b,1000000,1000000,delegationParametersUpdateds
0xfd92ac7813720e0faf0220933a9279004b1fdcd44a549bb22e200c55be9f2b97-50,50,12201756,0xb393ff3cd1f70fecf9cf8b67f27780fbea0d084f,391384,391384,delegationParametersUpdateds
0x1b0c29aa5b857db04a2f2f11c8b04fc41404aed6fd7423a5a24a8123f0ec399e-363,363,12202096,0xf4a097ce3a4efbd1748b2ef2076813961e4e6fa7,218604,80000,delegationParametersUpdateds
0x43c069a2038e44e1f20784109d97f6f867aa62e732da5457d310a0a4edf1c175-236,236,12206706,0x362717d3fa1bfe457535b9b716f450b95a858217,750000,950000,delegationParametersUpdateds
