id,blockNumber,logIndex,indexer,delegator,tokens,type
0x4a6c087035f375f398b717bb4534667d3049f2bbf173066ab44fab99a5b4ab35-499,13034082,499,0xd11e05240a50e2eedb03e72d4c9c6465bc05f2a4,0x0ee159339272a73cc7990d0363237735733f16d2,1236273014507864427716,stakeDelegatedWithdrawns
0x7f25f032c5018d5bd09eaf33698c3ac246db3cf1a72a12db1b905d04c343f5b1-185,13034614,185,0x85fe868adf7f5950b052469075556fb207e5372d,0x61f4d1013941d98bf455aa881d26766e4fd317ec,28921786762913767330322,stakeDelegatedWithdrawns
0x5ec37cd4c6dc9343a034da6704078ea6a431f29b05724cf1d392782ecd926c37-203,13034676,203,0x9238584c74e5fa445a8f72a4d4ef4699dd783852,0x5061b7e724ed62d56c86f69205b2530dce7a0d85,5000000000000000000140,stakeDelegatedWithdrawns
0x055247af258cf8b8a94b19b36831f5cf595e2bb6b2b3e969d72aac003d1445da-463,13035088,463,0x39839abed87475422c5353256d17e08395c3af6b,0x04e492d349e82cafdc314cc0d966592b6ee9df11,3691929965659133128514,stakeDelegatedWithdrawns
0x038ed56e1e3594eae913e099732a9591c02c6c0a8ab233e24d4de2f81f40354e-373,13036332,373,0xb06071394531b63b0bac78f27e12dc2beaa913e4,0x73e886815fde73b83c2c0500c8a5f669da84bbe2,832420733095127687689,stakeDelegatedWithdrawns
0x7b86be8f899ca8633e347299676b26a8bcf967457ac17a50211393496a8fb95d-316,13038476,316,0x671bc7a0ffa02b0ee90ee03bcd11915df011503a,0x0df8c1cd57c2044c7eabc18254e42fb64a9c1994,6035976925730568862112,stakeDelegatedWithdrawns
0x432c23d2fa654b48ca29dc5952cdf6a2d9d99b2c778d86e083940bc3ebcecc76-308,13038657,308,0x50fda0a43d6770a927ebe2909fce1cdcba417801,0xad8131fecd62c5474e3f1c05c2152ce348e496cf,45000000000000000011506,stakeDelegatedWithdrawns
0x5d760c8a0dc1e39508fca79bebac05ae682065d37e9346e66107b5baadb1ca94-450,13039319,450,0x3eb3297b0e34a7897aa004b66a354053425f7894,0x92df2a5104fce10d77496710488382eb53def917,4147975616605590810767,stakeDelegatedWithdrawns
0x5849b7493776f8f994af90a2a5bc19b8bf86a19f41dfd591378d8c16e55b182a-400,13039491,400,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,0x0fe9bf14b9ee33de7c63fd664c425e874a315e3e,503571742223567859734,stakeDelegatedWithdrawns
0x818aa7f7ba197fee605841ff62031375f36cba690e882a9541ab2a779211fa62-234,13040024,234,0xc60d0c8c74b5d3a33ed51c007ebae682490de261,0x69c059be817307e023efac527093c738bff3e1eb,2852335932559251455809,stakeDelegatedWithdrawns
0x79cb177efee7f80a437c6441d62d1021feaff65dcd986b9881e555819460f609-301,13040811,301,0xb06071394531b63b0bac78f27e12dc2beaa913e4,0x109ea970dfa1042c4322528b3591b0cf9b2949cb,16262807481851612636185,stakeDelegatedWithdrawns
0x563b194603ab091585a504a45f10c7a8b90d91ec7d674f17fabba34baeb621e2-210,13041633,210,0x5a8904be09625965d9aec4bffd30d853438a053e,0x37e30882976846601a28bfdc77bca82976296b5b,2698151031209233819299,stakeDelegatedWithdrawns
0xcca0e3f6997e2143179f14cb56178243af9cde01f948cf72eb6d98a63658340f-539,13041809,539,0x39839abed87475422c5353256d17e08395c3af6b,0xb12c8e3e0e279ca2fb3728b78e5e1202e8f652e7,20000000000000000000665,stakeDelegatedWithdrawns
0xb8bf69682a49208bfc47d0ae4fd6e67768bd2bcb843a459e10d3d7798c248230-229,13041814,229,0xa3276e7ab0a162f6a3b5aa6b3089accbaa65d12e,0x34a559e899b2512fda615ea415ac8d68fad404de,450855115571210201247134,stakeDelegatedWithdrawns
0x868fada2ac35fc0be762050fc9642d826f7fc28b362128ba659ceeb56a571927-162,13041819,162,0x5a8904be09625965d9aec4bffd30d853438a053e,0xbdfcf44458b748b5c8f15364f43b86a46fc97a1b,1017455874572975252055,stakeDelegatedWithdrawns
0x7ecd2cbacafbf45ed2acc80c371e6a63716a804e9af2b7a0d5889c72796adcf5-300,13042220,300,0xcb22a8ce581d04fef99b81ec5a60725070a3e8c4,0xb8df111ed4c8f1a651eec6a363d775004cb5ec0c,1564679623929454144640478,stakeDelegatedWithdrawns
0x7dc619a5979a5721799a993e9f365c6ee44ca7eee25cf07e6bdf6f4211dcc433-380,13042331,380,0xbb784d9b398271b7a64f975bebde869409691915,0x4899b5ad4434d972f7cc76130db7020d87d5695a,1109641256499768933688,stakeDelegatedWithdrawns
